,0
все,468
удлинитель,335
работает,233
спасибо,202
все работает,191
не,154
в,132
и,131
хороший,128
за,107
пришел,103
очень,100
рекомендую,89
отличный,85
быстро,85
доставка,75
товар,64
но,63
быстрая,61
все отлично,59
для,59
на,54
к,53
отлично,51
все хорошо,50
что,49
соответствует,48
цена,47
хорошо,45
продавцу,44
рабочий,42
с,42
как,41
описанию,40
гирлянды,37
состоянии,36
а,32
пришло,31
еще,30
2,29
то,27
заказала,27
цену,27
вещь,26
рабочем,26
без,26
гирлянду,26
раз,26
супер,25
по,25
удлинители,25
3,25
брала,24
целый,23
советую,23
гирлянде,23
гирлянд,22
это,22
так,22
качество,22
вилка,21
такую,21
все целое,20
штуки,20
один,20
большое,19
просто,19
провод,19
62,19
удобно,19
сразу,18
у,18
только,18
удлинителя,18
заказывала,18
работают,18
уже,18
подошел,17
довольна,17
до,16
пришли,16
деньги,16
упаковано,16
свою,15
покупке,15
два,15
можно,15
удобный,14
я,14
его,14
все в,14
нет,14
вовремя,14
взяла,13
розетки,13
шт,13
упакован,13
от,13
нормальный,13
повреждений,13
5,13
тонкий,13
надо,13
прозрачный,12
выполняет,12
хорошая,12
второй,12
запах,12
все подошло,11
теперь,11
доставили,11
все супер,11
было,11
метра,11
идеально,11
продавца,11
р,11
нужная,10
немного,10
метров,10
такие,10
хорошие,10
хорошее,10
мне,10
качественный,10
шнур,10
свои,10
вообще,10
отличная,9
пришла,9
три,9
со,9
всем,9
исправно,9
купила,9
подходит,9
функцию,9
оба,9
главное,9
гирляндой,9
доставку,9
целости,9
обычный,9
был,9
все ок,9
под,9
отличные,9
все пришло,9
целое,9
беру,9
нужно,8
пока,8
бы,8
когда,8
длина,8
справляется,8
аккуратно,8
же,8
нормально,8
эти,8
стоит,8
розетку,8
легкий,8
упаковка,8
длинный,8
хорошем,8
все нормально,7
все прекрасно,7
он,7
штука,7
из,7
полностью,7
удобная,7
не первый,7
покупкой,7
хлипкий,7
или,7
время,7
не работает,7
такой,7
тоненький,7
цене,7
м,7
руб,7
своей,7
срок,6
рубля,6
рублей,6
долго,6
все как,6
нареканий,6
буду,6
заказ,6
рабочее,6
посмотрим,6
всегда,6
год,6
4,6
подключила,6
3м,6
заказывать,6
первый,6
правда,6
сохранности,6
розетке,6
есть,6
быструю,6
все соответствует,6
удленитель,6
покупать,6
конца,5
новый,5
проверили,5
хлипкая,5
качественно,5
чуть,5
доставлен,5
брали,5
этого,5
переходник,5
чем,5
розетка,5
рабочие,5
не надо,5
порядке,5
сколько,5
надеюсь,5
при,5
гирлянда,5
ничего,5
заказываю,5
году,5
короткий,5
удлиннитель,5
62р,5
гирляндами,5
все работают,5
провода,5
конечно,5
1,5
качества,5
этот,5
хорошего,5
покупала,5
получила,5
вид,4
приятная,4
подключили,4
день,4
вот,4
описании,4
норм,4
пахнет,4
незаметный,4
через,4
где,4
если,4
товаром,4
хватит,4
прекрасный,4
ее,4
отличное,4
вроде,4
не хватало,4
исправный,4
окно,4
дома,4
фото,4
вилки,4
чтобы,4
долгая,4
меня,4
работе,4
заказали,4
бракованный,4
заказать,4
поэтому,4
сгорел,4
подошло,4
нее,4
полезная,4
была,4
все ,4
оказался,4
звезды,4
да,4
хватило,4
состояние,4
несколько,4
всего,4
дня,4
мало,4
благодарю,4
штук,4
все рабочие,4
минус,4
радует,4
замечательный,3
одна,3
понравился,3
много,3
дешевле,3
пути,3
2шт,3
самое,3
более,3
трудом,3
потом,3
не заметный,3
изза,3
пакет,3
вилкой,3
сидит,3
герлянде,3
порадовала,3
возврат,3
во,3
ровный,3
производителю,3
рабочая,3
все работаетспасибо,3
сильный,3
тк,3
купили,3
него,3
взяли,3
классный,3
больше,3
копейки,3
функцией,3
вам,3
не проверяла,3
всех,3
действительно,3
маленький,3
вставляется,3
туго,3
прекрасно,3
жаль,3
покупали,3
денег,3
проблему,3
соединение,3
приехал,3
никак,3
55,3
видно,3
не знаю,3
хорошей,3
гирляндах,3
пару,3
доставлено,3
использую,3
такое,3
дефектов,3
купить,3
контакт,3
лучше,3
короткие,3
вся,3
отзывы,3
вилку,3
заявлено,3
дошло,3
совсем,3
тем,3
пункте,3
классно,3
не вставляется,3
продают,3
гирляндам,3
соответствуют,3
удобные,3
все норм,3
целая,3
77р,3
почти,3
заявленному,3
не критично,3
целом,3
брака,3
решила,3
длины,3
задержкой,3
новогодних,3
этим,3
ждали,3
довольны,3
находка,3
классная,3
работать,3
пригодился,3
пойдет,3
ценой,3
выдачи,3
магазине,3
прослужит,3
даже,3
дым,3
держится,3
ожидалось,3
вместо,2
все быстро,2
огонь,2
подошли,2
добрый,2
красота,2
помощью,2
давно,2
ужасное,2
счастья,2
не для,2
повезло,2
размер,2
герлянд,2
заметный,2
удлинили,2
третий,2
себе,2
вполне,2
резиной,2
искала,2
платный,2
тот,2
г,2
пластика,2
дешевый,2
четко,2
невидимый,2
тонкие,2
решить,2
держать,2
крепкий,2
низкая,2
все понравилось,2
не рабочий,2
использовать,2
нужный,2
заявленным,2
характеристикам,2
замыкает,2
дотягивается,2
функции,2
не так,2
две,2
печально,2
плотно,2
удлинителей,2
ровно,2
вместе,2
того,2
новому,2
не в,2
страшно,2
скидкой,2
не быстро,2
тут,2
сказать,2
помог,2
класс,2
которая,2
довольно,2
разетку,2
которую,2
еле,2
сумму,2
ну,2
сожалению,2
места,2
запасом,2
дешево,2
не советую,2
стене,2
оконной,2
вс,2
будем,2
200,2
ничем,2
закажу,2
окнах,2
раньше,2
основной,2
максимально,2
скорее,2
ужасно,2
одного,2
тоже,2
штучки,2
заказывали,2
выручает,2
все цело,2
достаточно,2
огромное,2
эту,2
том,2
удалось,2
не нужно,2
размеру,2
сойдет,2
будет,2
другой,2
итоге,2
двух,2
стоимость,2
понимаю,2
подарок,2
не страшно,2
смогла,2
60р,2
красиво,2
гибкий,2
комнатах,2
везде,2
вещица,2
брать,2
включила,2
товара,2
необходимая,2
любой,2
недорого,2
рада,2
завышена,2
крепко,2
назначению,2
задержалась,2
потолка,2
3х,2
думаю,2
одновременно,2
ни,2
внешне,2
проверила,2
забрала,2
не входит,2
присутствует,2
запашок,2
тянуть,2
были,2
входит,2
рядом,2
доставке,2
присутствовал,2
такая,2
вторая,2
кто,2
месте,2
весь,2
наступающим,2
горит,2
штора,2
случай,2
самой,2
не знала,2
гирляндышторы,2
почернел,2
использования,2
моим,2
далеко,2
взгляд,2
квартира,2
выручалочка,2
может,2
палочка,2
5м,2
замкнул,2
сделаны,2
целым,2
годом,2
все нравится,2
обслуживание,2
